Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,'35925776138340,value,pt-PT,,,"[""gid://shopify/MediaImage/26690466709604"",""gid://shopify/MediaImage/26690466742372"",""gid://shopify/MediaImage/26690466775140"",""gid://shopify/MediaImage/26690466676836"",""gid://shopify/MediaImage/26690466807908"",""gid://shopify/MediaImage/26690466840676"",""gid://shopify/MediaImage/26690466971748"",""gid://shopify/MediaImage/26690467004516"",""gid://shopify/MediaImage/26690466873444"",""gid://shopify/MediaImage/26690467037284""]",""
METAFIELD,'35925776171108,value,pt-PT,,,"Gotham","Gótico"
METAFIELD,'35925776203876,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'35925776236644,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'36011034706020,value,pt-PT,,,"gid://shopify/MediaImage/26697401040996",""
METAFIELD,'36589757923428,value,pt-PT,,,"[""Black""]","[""Preto""]"
METAFIELD,'36590687453284,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'36590687486052,value,pt-PT,,,"gid://shopify/MediaImage/26606008172644",""
METAFIELD,'37495647207524,value,pt-PT,,,"Green","Verde"
METAFIELD,'37495647240292,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'37496398610532,value,pt-PT,,,"gid://shopify/MediaImage/26813234774116",""
METAFIELD,'37520731439204,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Elevated Bed""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Lightweight and portable""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Reinforced stitching""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Easy to clean""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Non-slippery feet""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cama Aeroespacial""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Leve e portátil""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Costura reforçada""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fácil de limpar""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Não deslizante nos pés""}]}]}]}"
METAFIELD,'37520731471972,value,pt-PT,,,"Black","Preto"
METAFIELD,'37520731504740,value,pt-PT,,,"[""Black""]","[""Preto""]"
METAFIELD,'37520731537508,value,pt-PT,,,"gid://shopify/MediaImage/26813177725028",""
METAFIELD,'37521114071140,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Elevated Bed""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Lightweight and portable""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Reinforced stitching""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Easy to clean""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Non-slippery feet""}]}]}]}","{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cama Aceitadissima""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Leve e transportável""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Costura reforçada""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fácil de limpar""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Não deslizante nas patas""}]}]}]}"
METAFIELD,'38639917760612,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38639917793380,value,pt-PT,,,"[""Black"",""White"",""Red""]","[""Preto"",""Branco"",""Vermelho""]"
METAFIELD,'38639917826148,value,pt-PT,,,"gid://shopify/MediaImage/26913421394020",""
METAFIELD,'38639917858916,value,pt-PT,,,"[""gid://shopify/MediaImage/26913425096804"",""gid://shopify/MediaImage/26913425064036"",""gid://shopify/MediaImage/26913425129572""]",""
METAFIELD,'38640293970020,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38640294002788,value,pt-PT,,,"[""Black"",""Red"",""White""]","[""Preto"",""Vermelho"",""Branco""]"
METAFIELD,'38640294035556,value,pt-PT,,,"gid://shopify/MediaImage/26913461698660",""
METAFIELD,'38640294068324,value,pt-PT,,,"[""gid://shopify/MediaImage/26913458290788"",""gid://shopify/MediaImage/26913458258020"",""gid://shopify/MediaImage/26913458192484"",""gid://shopify/MediaImage/26913458225252"",""gid://shopify/MediaImage/26913458323556""]",""
METAFIELD,'38640496115812,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38640496148580,value,pt-PT,,,"[""Black"",""White"",""Red""]","[""Preto"",""Branco"",""Vermelho""]"
METAFIELD,'38640496181348,value,pt-PT,,,"gid://shopify/MediaImage/26913503314020",""
METAFIELD,'38640629252196,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38640629284964,value,pt-PT,,,"[""Black"",""Red"",""White""]","[""Preto"",""Vermelho"",""Branco""]"
METAFIELD,'38640629317732,value,pt-PT,,,"gid://shopify/MediaImage/26913526022244",""
METAFIELD,'38640752722020,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38640752754788,value,pt-PT,,,"[""Black"",""Red"",""White""]","[""Preto"",""Vermelho"",""Branco""]"
METAFIELD,'38640752787556,value,pt-PT,,,"gid://shopify/MediaImage/26913537294436",""
METAFIELD,'38640964796516,value,pt-PT,,,"Skull 2.0","Crânio 2.0"
METAFIELD,'38640964829284,value,pt-PT,,,"[""White"",""Black"",""Red""]","[""Branco"",""Preto"",""Vermelho""]"
METAFIELD,'38640964862052,value,pt-PT,,,"gid://shopify/MediaImage/26913558233188",""
METAFIELD,'38641437048932,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38641437081700,value,pt-PT,,,"[""Blue"",""Yellow"",""Black"",""Orange""]","[""Azul"",""Amarelo"",""Preto"",""Laranja""]"
METAFIELD,'38641437114468,value,pt-PT,,,"gid://shopify/MediaImage/26913603092580",""
METAFIELD,'38641437147236,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38641594368100,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38641594400868,value,pt-PT,,,"[""Yellow"",""White"",""Orange"",""Blue"",""Black""]","[""Amarelo"",""Branco"",""Laranja"",""Azul"",""Preto""]"
METAFIELD,'38641594433636,value,pt-PT,,,"gid://shopify/MediaImage/26913619378276",""
METAFIELD,'38641594466404,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38641793269860,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38641793368164,value,pt-PT,,,"[""Blue"",""Orange"",""Black"",""Yellow""]","[""Azul"",""Laranja"",""Preto"",""Amarelo""]"
METAFIELD,'38641793400932,value,pt-PT,,,"gid://shopify/MediaImage/26913636483172",""
METAFIELD,'38641930043492,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38641930076260,value,pt-PT,,,"[""Yellow"",""Blue"",""Orange"",""Black"",""White""]","[""Amarelo"",""Azul"",""Laranja"",""Preto"",""Branco""]"
METAFIELD,'38641930109028,value,pt-PT,,,"gid://shopify/MediaImage/26913658011748",""
METAFIELD,'38642063638628,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38642063671396,value,pt-PT,,,"[""Blue"",""Yellow"",""Orange"",""Black"",""White""]","[""Azul"",""Amarelo"",""Laranja"",""Preto"",""Branco""]"
METAFIELD,'38642063704164,value,pt-PT,,,"gid://shopify/MediaImage/26913672134756",""
METAFIELD,'38642161451108,value,pt-PT,,,"Artsy","Artístico"
METAFIELD,'38642161483876,value,pt-PT,,,"[""Yellow"",""White"",""Orange"",""Blue""]","[""Amarelo"",""Branco"",""Laranja"",""Azul""]"
METAFIELD,'38642161516644,value,pt-PT,,,"gid://shopify/MediaImage/26913686880356",""
METAFIELD,'38642313134180,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38642313166948,value,pt-PT,,,"[""Pink"",""White"",""Black"",""Blue""]","[""Rosa"",""Branco"",""Preto"",""Azul""]"
METAFIELD,'38642313232484,value,pt-PT,,,"gid://shopify/MediaImage/26913697005668",""
METAFIELD,'38642313298020,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38642409144420,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38642409177188,value,pt-PT,,,"[""Blue"",""Pink"",""White"",""Black""]","[""Azul"",""Rosa"",""Branco"",""Preto""]"
METAFIELD,'38642409209956,value,pt-PT,,,"gid://shopify/MediaImage/26913709293668",""
METAFIELD,'38642409242724,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38642503778404,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38642503811172,value,pt-PT,,,"[""Blue"",""Pink"",""White"",""Black""]","[""Azul"",""Rosa"",""Branco"",""Preto""]"
METAFIELD,'38642503843940,value,pt-PT,,,"gid://shopify/MediaImage/26913721548900",""
METAFIELD,'38642632917092,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38642633015396,value,pt-PT,,,"[""Blue"",""Pink"",""White"",""Black""]","[""Azul"",""Rosa"",""Branco"",""Preto""]"
METAFIELD,'38642633048164,value,pt-PT,,,"gid://shopify/MediaImage/26913740226660",""
METAFIELD,'38643177193572,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38643177291876,value,pt-PT,,,"[""Blue"",""Pink"",""White"",""Black""]","[""Azul"",""Rosa"",""Branco"",""Preto""]"
METAFIELD,'38643177390180,value,pt-PT,,,"gid://shopify/MediaImage/26913822277732",""
METAFIELD,'38643336085604,value,pt-PT,,,"Midnight","Meia-Noite"
METAFIELD,'38643336151140,value,pt-PT,,,"[""Blue"",""White"",""Pink"",""Black""]","[""Azul"",""Branco"",""Rosa"",""Preto""]"
METAFIELD,'38643336183908,value,pt-PT,,,"gid://shopify/MediaImage/26913837056100",""
METAFIELD,'38643435995236,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38643436028004,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38643436060772,value,pt-PT,,,"gid://shopify/MediaImage/26913853538404",""
METAFIELD,'38643436093540,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38643643154532,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38643643187300,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38643643252836,value,pt-PT,,,"gid://shopify/MediaImage/26913867759716",""
METAFIELD,'38643643285604,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38643736117348,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38643736150116,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38643736182884,value,pt-PT,,,"gid://shopify/MediaImage/26913881456740",""
METAFIELD,'38643871350884,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38643871383652,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38643871416420,value,pt-PT,,,"gid://shopify/MediaImage/26913895874660",""
METAFIELD,'38643947339876,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38643947438180,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38643947470948,value,pt-PT,,,"gid://shopify/MediaImage/26913907343460",""
METAFIELD,'38644001734756,value,pt-PT,,,"Smash","Tocar"
METAFIELD,'38644001800292,value,pt-PT,,,"[""Yellow"",""White"",""Black""]","[""Amarelo"",""Branco"",""Preto""]"
METAFIELD,'38644001833060,value,pt-PT,,,"gid://shopify/MediaImage/26913917763684",""
METAFIELD,'38644191789156,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38644191821924,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38644191854692,value,pt-PT,,,"gid://shopify/MediaImage/26913940308068",""
METAFIELD,'38644191887460,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38644284260452,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38644284293220,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38644284325988,value,pt-PT,,,"gid://shopify/MediaImage/26913947582564",""
METAFIELD,'38644284358756,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38644465205348,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38644465238116,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38644465270884,value,pt-PT,,,"gid://shopify/MediaImage/26913960263780",""
METAFIELD,'38644465303652,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38644812677220,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38644812709988,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38644812742756,value,pt-PT,,,"gid://shopify/MediaImage/26913990082660",""
METAFIELD,'38644958036068,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38644958068836,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38644958101604,value,pt-PT,,,"gid://shopify/MediaImage/26914002010212",""
METAFIELD,'38645068562532,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38645068595300,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38645068628068,value,pt-PT,,,"gid://shopify/MediaImage/26914017443940",""
METAFIELD,'38645112012900,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38645112045668,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38645112078436,value,pt-PT,,,"gid://shopify/MediaImage/26914021998692",""
METAFIELD,'38645176074340,value,pt-PT,,,"Army Green","Verde do Exército"
METAFIELD,'38645176107108,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'38645176139876,value,pt-PT,,,"gid://shopify/MediaImage/26914026717284",""
METAFIELD,'38645308915812,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645308948580,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645308981348,value,pt-PT,,,"gid://shopify/MediaImage/26914035040356",""
METAFIELD,'38645464498276,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645464563812,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645464662116,value,pt-PT,,,"gid://shopify/MediaImage/26914045526116",""
METAFIELD,'38645464727652,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38645516173412,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645516271716,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645516337252,value,pt-PT,,,"gid://shopify/MediaImage/26914054635620",""
METAFIELD,'38645630599268,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645630632036,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645630664804,value,pt-PT,,,"gid://shopify/MediaImage/26914062041188",""
METAFIELD,'38645719760996,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645719859300,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645719892068,value,pt-PT,,,"gid://shopify/MediaImage/26914070003812",""
METAFIELD,'38645797552228,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645797584996,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645797617764,value,pt-PT,,,"gid://shopify/MediaImage/26914077081700",""
METAFIELD,'38645874851940,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645874884708,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645874917476,value,pt-PT,,,"gid://shopify/MediaImage/26914084356196",""
METAFIELD,'38645938356324,value,pt-PT,,,"Neon Coral","Coral Neón"
METAFIELD,'38645938389092,value,pt-PT,,,"[""Pink""]","[""Rósa""]"
METAFIELD,'38645938421860,value,pt-PT,,,"gid://shopify/MediaImage/26914093727844",""
METAFIELD,'38646041870436,value,pt-PT,,,"Bordeau","Porto"
METAFIELD,'38646041903204,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646041935972,value,pt-PT,,,"gid://shopify/MediaImage/26914102018148",""
METAFIELD,'38646041968740,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38646182674532,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646182707300,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646182740068,value,pt-PT,,,"gid://shopify/MediaImage/26914117419108",""
METAFIELD,'38646182772836,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38646257188964,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646257221732,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646257254500,value,pt-PT,,,"gid://shopify/MediaImage/26914124660836",""
METAFIELD,'38646257287268,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38646345957476,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646345990244,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646346023012,value,pt-PT,,,"gid://shopify/MediaImage/26914131050596",""
METAFIELD,'38646409691236,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646409724004,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646409756772,value,pt-PT,,,"gid://shopify/MediaImage/26914135998564",""
METAFIELD,'38646503440484,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646503473252,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646503506020,value,pt-PT,,,"gid://shopify/MediaImage/26914143076452",""
METAFIELD,'38646743564388,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38646743597156,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38646743629924,value,pt-PT,,,"gid://shopify/MediaImage/26914154250340",""
METAFIELD,'38646972088420,value,pt-PT,,,"honey","mel"
METAFIELD,'38646972121188,value,pt-PT,,,"[""Yellow"",""Purple"",""Black"",""White""]","[""Amarelo"",""Roxo"",""Preto"",""Branco""]"
METAFIELD,'38646972153956,value,pt-PT,,,"gid://shopify/MediaImage/26914174369892",""
METAFIELD,'38646972186724,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38647197859940,value,pt-PT,,,"sand","areia"
METAFIELD,'38647197892708,value,pt-PT,,,"[""Beige""]","[""Branco""]"
METAFIELD,'38647197925476,value,pt-PT,,,"gid://shopify/MediaImage/26914200879204",""
METAFIELD,'38647296720996,value,pt-PT,,,"bordeau","bordeaux"
METAFIELD,'38647296753764,value,pt-PT,,,"[""Red""]","[""Vermelho""]"
METAFIELD,'38647296786532,value,pt-PT,,,"gid://shopify/Video/26914205696100",""
METAFIELD,'38647335977060,value,pt-PT,,,"gotham","""gotham"" // Não é texto humano, portanto não é necessário traduzir."
METAFIELD,'38647336009828,value,pt-PT,,,"[""Black""]","[""Preto""]"
METAFIELD,'38647336042596,value,pt-PT,,,"gid://shopify/Video/26914211332196",""
METAFIELD,'38647454171236,value,pt-PT,,,"Soft Blue","Azul mole"
METAFIELD,'38647454204004,value,pt-PT,,,"[""Blue""]","[""Azul""]"
METAFIELD,'38647454236772,value,pt-PT,,,"gid://shopify/Video/26914216312932",""
METAFIELD,'38647625547876,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38647625580644,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38647625613412,value,pt-PT,,,"gid://shopify/MediaImage/26914226307172",""
METAFIELD,'38647625646180,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38647758880868,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38647758913636,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38647758946404,value,pt-PT,,,"gid://shopify/MediaImage/26914234794084",""
METAFIELD,'38647772446820,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38647881138276,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38647881171044,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38647881203812,value,pt-PT,,,"gid://shopify/MediaImage/26914244165732",""
METAFIELD,'38648142430308,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38648142463076,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38648142495844,value,pt-PT,,,"gid://shopify/MediaImage/26914260418660",""
METAFIELD,'38648224415844,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38648224514148,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38648224579684,value,pt-PT,,,"gid://shopify/MediaImage/26914269397092",""
METAFIELD,'38648286838884,value,pt-PT,,,"candy","sorvete"
METAFIELD,'38648286937188,value,pt-PT,,,"[""Yellow"",""Blue"",""White"",""Purple""]","[""Amarelo"",""Azul"",""Branco"",""Roxo""]"
METAFIELD,'38648287002724,value,pt-PT,,,"gid://shopify/MediaImage/26914276245604",""
METAFIELD,'38648401789028,value,pt-PT,,,"pacco","bolsa"
METAFIELD,'38648401821796,value,pt-PT,,,"[""Brown"",""White"",""Beige"",""Blue""]","[""Marrom"",""Branco"",""Brinde"",""Azul""]"
METAFIELD,'38648401854564,value,pt-PT,,,"gid://shopify/MediaImage/26914282242148",""
METAFIELD,'38648401887332,value,pt-PT,,,"[""Collar""]","[""Colar""]"
METAFIELD,'38648480759908,value,pt-PT,,,"pacco","bolsa"
METAFIELD,'38648480792676,value,pt-PT,,,"[""Brown"",""White"",""Beige"",""Blue""]","[""Marrom"",""Branco"",""Brinde"",""Azul""]"
METAFIELD,'38648480825444,value,pt-PT,,,"gid://shopify/MediaImage/26914290106468",""
METAFIELD,'38648480858212,value,pt-PT,,,"[""Leash""]","[""Fita""]"
METAFIELD,'38648571396196,value,pt-PT,,,"pacco","bolsa"
